Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-22,11:57:00,2021-06-22,12:01:00,103,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,11:51:00,2021-06-22,12:02:00,97,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-22,11:11:00,2021-06-22,12:33:00,57,82,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-22,10:05:00,2021-06-22,10:14:00,104,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,10:04:00,2021-06-22,17:32:00,103,448,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-22,08:03:00,2021-06-22,08:21:00,166,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-22,05:04:00,2021-06-22,05:17:00,25,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,04:28:00,2021-06-22,04:39:00,39,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-22,03:44:00,2021-06-22,03:49:00,125,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,02:55:00,2021-06-22,04:21:00,76,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-22,02:53:00,2021-06-22,04:15:00,74,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-22,01:35:00,2021-06-22,01:39:00,42,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-22,00:40:00,2021-06-22,00:53:00,14,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-22,00:02:00,2021-06-22,00:26:00,58,24,Machine Stopped by Operator,,,,,,
R,2021-06-21,22:55:00,2021-06-21,23:04:00,8,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-21,22:38:00,2021-06-21,22:47:00,48,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-21,21:26:00,2021-06-21,21:50:00,25,24,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-21,21:26:00,2021-06-21,21:53:00,25,27,Machine Stopped by Operator,,,,,,
R,2021-06-21,20:43:00,2021-06-21,21:01:00,51,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-21,20:43:00,2021-06-22,01:31:00,51,288,Machine Stopped by Operator,Planned Stop,CIL,Fischbein,,,
R,2021-06-21,19:47:00,2021-06-21,19:52:00,5,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-21,18:51:00,2021-06-21,19:42:00,25,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-21,18:13:00,2021-06-21,18:26:00,150,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-21,15:32:00,2021-06-21,15:43:00,51,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-21,13:57:00,2021-06-21,16:48:00,56,171,Machine Stopped by Operator,PSG Machine,Cutting and Perforation,Cylinder,Damaged cylinder seal,,
R,2021-06-21,13:55:00,2021-06-21,14:41:00,54,46,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
